Country,Completed Primary (%),Completed Post-Secondary (%),Bachelor's Or Equivalent (%),Master's Or Equivalent (%)
Russian Federation,100,76,43,20
United States,100,51,40,15
United Kingdom,99,45,38,15
India,57,11,11,3
Pakistan,38,7,7,3
Afghanistan,10,3,2,0
